title,price,address,area,date,link,description
Сдаю торговое помещение 137м² на первой линии Мамадышского тракта,2500,"ул. Мамадышский Тракт, 1р-н Советский",0,Вчера,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sdayu_torgovoe_pomeschenie_137m_na_pervoy_linii_mamadyshskogo_trakta_7321917026?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Помещение 18 м² под салон, студию, склад",27000,"ул. Профессора Камая, 10к4Горки, 16–20 мин.",0,3 дня назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_18_m_pod_salon_studiyu_sklad_7312024578?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Помещение 101.5 м² под магазин, офис, салон",162400,"ул. Гарифа Ахунова, 22АПроспект Победы, от 31 мин.",0,3 дня назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_101.5_m_pod_magazin_ofis_salon_7312902008?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Свободного назначения, 71 м2",1300,"Портовая ул., 37к2Площадь Тукая, от 31 мин.",0,3 дня назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_71_m2_7321877377?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Свободного назначения, 88.4 м²",3500,"ул. Николая Ершова, 76/1р-н Советский",0,3 дня назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_88.4_m_7329652783?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Теплый склад, Химиков,1А",1000,"ул. Химиков, 1Ар-н Московский",0,3 дня назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/teplyy_sklad_himikov1a_7314066530?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Свободного назначения,1990,"пр-т Победы, 139Ак2Горки, от 31 мин.",0,3 дня назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7307945865?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Сдам помещение на высоком трафике, 28м²",1200,"ул. 25 Октября, 13/6Яшьлек, от 31 мин.",0,3 дня назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sdam_pomeschenie_na_vysokom_trafike_28m_7321336306?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Свободного назначения, 38 м²",80000,"Чистопольская ул., 75Козья Слобода, от 31 мин.",0,3 дня назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_38_m_7329365438?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Торговая площадь, Дементьева ул., 72Б",100800,"ул. Дементьева, 72БАвиастроительная, 21–30 мин.",0,3 дня назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_dementeva_ul._72b_7333283397?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Офис, 64.3 м²",1500,"ул. Профессора Камая, 10к2Горки, 16–20 мин.",0,3 дня назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_64.3_m_7294174154?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Свободного назначения, 28.5 м²",37000,"ул. Космонавтов, 12р-н Советский",0,3 дня назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_28.5_m_7311880381?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Офис В Аренду в ЖК Дружба, 50м2",75000,"ул. Сибирский Тракт, 13р-н Советский",0,3 дня назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_v_arendu_v_zhk_druzhba_50m2_7331380989?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Торговая площадь, 42 м²",60000,"ул. Юлиуса Фучика, 50Дубравная, 6–10 мин.",0,3 дня назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_42_m_7305177002?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Сдам помещение на первой линии, 17,9м²",21480,"ул. Короленко, 52АСеверный вокзал, 16–20 мин.",0,3 дня назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sdam_pomeschenie_na_pervoy_linii_179m_7321840418?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Аренда 46кв.м напротив казанмолла,85000,"ул. Павлюхина, 114Суконная слобода, 16–20 мин.",0,3 дня назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/arenda_46kv.m_naprotiv_kazanmolla_7317155335?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Сдается ПСН 93,5 кв м готовое под бизнес",140250,"Кировский район, Приволжская ул., 102к1р-н Кировский",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sdaetsya_psn_935_kv_m_gotovoe_pod_biznes_7320984129?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Помещение в аренду г. Иннополис, общ.пл.79,6кв.м",1500,"Иннополис, Спортивная ул., 102",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_v_arendu_g._innopolis_obsch.pl.796kv.m_7315062606?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Свободного назначения, 110 м² на трафике",2000,"ул. Мамадышский Тракт, 35к1р-н Советский",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_110_m_na_trafike_7321669668?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Помещение на первой линии, активный трафик",2200,"пр-т Универсиады, 16Аметьево, 6–10 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_na_pervoy_linii_aktivnyy_trafik_7321538446?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Сдам отдельно стоящее здание, 126 м²",1000,"Революционная ул., 1р-н Кировский",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sdam_otdelno_stoyaschee_zdanie_126_m_7321839704?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Свободного назначения, 70 м²",100000,"ул. Академика Глушко, 32р-н Советский",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_70_m_7327668637?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Помещение на Танковом кольце НДС,1800,"ул. Карбышева, 12ААметьево, 21–30 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_na_tankovom_koltse_nds_7301283913?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
130 м² на высоком трафике,1300,"ул. Баки Урманче, 6Проспект Победы, от 31 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/130_m_na_vysokom_trafike_7322020076?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Первая линия. Торговое ПСН Офис 54 м² свой с/у,216000,"пр-т Ибрагимова, 32АЯшьлек, 6–10 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pervaya_liniya._torgovoe_psn_ofis_54_m_svoy_su_7310342063?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Помещение на бешеном трафике 82м2, остановка",1755,"ул. Тансык, 11/7р-н Кировский",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_na_beshenom_trafike_82m2_ostanovka_7327061306?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Аренда ПСН 56 кв м,84000,"пр. Яраткан, 3Горки, 6–10 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/arenda_psn_56_kv_m_7320424508?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Торговая площадь,70000,"с. Песчаные Ковали, Октябрьская ул., 2В",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_7316541325?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Рабочее место бьюти-мастера,9000,"ул. Восстания, 42Яшьлек, 6–10 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/rabochee_mesto_byuti-mastera_7301645540?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Торговая площадь высокий трафик 43м2 на остановке,1755,"пр-т Ильгама Шакирова, 19р-н Кировский",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_vysokiy_trafik_43m2_na_ostanovke_7295143384?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Свободного назначения,50000,"ул. Хади Такташа, 117Суконная слобода, 11–15 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7319033709?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Торговая площадь,1400,"с. Сокуры, коттеджный пос. Новые Сокуры- 3, ул. Бурхана Шахиди, 3",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_7300292821?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Свободного назначения,109500,"ул. Баки Урманче, 1Проспект Победы, от 31 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7321899487?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Свободного назначения, 41.3 м²",78470,"ул. Академика Сахарова, 31р-н Советский",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_41.3_m_7296861320?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Торговое помещение на первой линии,159030,"ул. Космонавтов, 26р-н Советский",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovoe_pomeschenie_na_pervoy_linii_7297003941?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Офис площадью 82.7 м2 рядом с ТЦ Франт,120000,"ул. Юлиуса Фучика, 78Проспект Победы, 21–30 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_ploschadyu_82.7_m2_ryadom_s_tts_frant_7299846528?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Свободного назначения,80000,"ул. Фикрята Табеева, 3р-н Советский",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7321152260?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Офис, гостиница, медцентр, аптека, салон красоты",282700,"Приволжский район, мкр-н Горки-3, мкр-н Экопарк Дубрава, ул. Абубекира Терегулова, 12Дубравная, 16–20 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_gostinitsa_medtsentr_apteka_salon_krasoty_7306183414?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Торговая площадь,3000,"ул. Энергетиков, 1Яшьлек, до 5 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_7282000882?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Торговая площадь,60000,"ул. Кул Гали, 34Дубравная, 21–30 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_7282012559?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Торговая площадь, 71 м²",93720,"д. Куюки, 8-й квартал, 5",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_71_m_7316363441?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
ЖК Изумрудный город 65 м²,71500,"ул. Кул Гали, 27Дубравная, 21–30 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/zhk_izumrudnyy_gorod_65_m_7319830226?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"1 этаж, отд. сан/узел, доступ 24/7",49200,"Курская ул., 3Суконная слобода, от 31 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/1_etazh_otd._sanuzel_dostup_247_7301635810?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Магазин или офис в ЖК Магеллан, 45 м²",94000,"Чистопольская ул., 36Козья Слобода, 16–20 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/magazin_ili_ofis_v_zhk_magellan_45_m_7317644327?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Свободного назначения, 105.5 м²",158250,"ул. Соловецких Юнг, 7Яшьлек, 6–10 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_105.5_m_7306865620?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"30 кв.м около ТЦ Тандем, 1 этаж, отд вход, 1линия",2000,"пр-т Ибрагимова, 61АКозья Слобода, 6–10 мин.",0,1 неделю назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/30_kv.m_okolo_tts_tandem_1_etazh_otd_vhod_1liniya_7296229094?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Магазин на центральной улице 98м²,1000,"с. Кощаково, Комсомольская ул., 2И",0,1 неделю назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/magazin_na_tsentralnoy_ulitse_98m_7321397159?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Торговая площадь, 80 кв.м. Усады",2200,"с. Усады, ул. Габдуллы Тукая, 1А",0,1 неделю назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_80_kv.m._usady_7314088432?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Свободного назначения, 127 м²",1500,"Московская ул., 44Площадь Тукая, 11–15 мин.",0,1 неделю назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_127_m_7298531479?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Салон, Магазин, Офис на трафике",143750,"ул. Юлиуса Фучика, 133Проспект Победы, от 31 мин.",0,1 неделю назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/salon_magazin_ofis_na_trafike_7320888969?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
