title,price,address,item_url,date
"Свободного назначения, 45 м²",1111,"Краснококшайская ул., 119Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_45_m_1295198445?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,15 мая 2019
Аренда рефконтейнера 26.5 м² на территории Базы,45000,"жилой массив Борисково, Техническая ул., 9Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/arenda_refkonteynera_26.5_m_na_territorii_bazy_1360581929?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,15 мая 2019
"Свободного назначения, 45.7 м²",80000,"ул. Шамиля Усманова, 90Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_45.7_m_1215457212?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,11 апреля 2019
Офисное помещение от 10 м²,300,"ул. Вацлава Воровского, 41Бугульма",https://www.avito.ru/bugulma/kommercheskaya_nedvizhimost/ofisnoe_pomeschenie_ot_10_m_1390309501?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,2 апреля 2019
"Офис, 19 м²",14000,"Вокзальная ул., 18Нижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/ofis_19_m_1529093310?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,29 марта 2019
"Свободного назначения, 25 м²",100,"ул. Ахмадиева, 6пгт. Джалиль",https://www.avito.ru/dzhalil/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_25_m_1593264135?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,14 марта 2019
"Офис, 15 м² Мензелинский тракт",850,"Мензелинский тракт, 48Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/ofis_15_m_menzelinskiy_trakt_1619478589?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,22 февраля 2019
"Свободного назначения, 6 м²",24990,"ул. Восстания, 100к88Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_6_m_1033824407?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,1 февраля 2019
Помещение свободного назначения,1200,"ул. Рауиса Гареева, 98Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_svobodnogo_naznacheniya_1652227716?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,10 декабря 2018
"Свободного назначения, 107 м²",107000,"ул. Гаврилова, 56к2Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_107_m_1487199550?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,27 ноября 2018
"Офисные,складские помещения, от 11 м² до 800 кв.м",200,"1-я Промышленная ул., 12Нижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/ofisnyeskladskie_pomescheniya_ot_11_m_do_800_kv.m_1342583008?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,15 ноября 2018
"Торговая площадь, 30 м²",2500,"Центральная ул., 3Апос. Красный Ключ",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_30_m_941576337?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,18 октября 2018
"Свободного назначения, 78 м²",117000,"пр-т Альберта Камалеева, 28/9Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_78_m_1109075128?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,17 октября 2018
"Торговое помещение, 100 м²",50000,"ул. 8 Марта, 12ААльметьевск",https://www.avito.ru/almetevsk/kommercheskaya_nedvizhimost/torgovoe_pomeschenie_100_m_1388881346?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,13 октября 2018
"Свободного назначения, 19 м²",17500,"Советский район, посёлок Дербышки, Главная ул., 51/29Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_19_m_1631284494?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,6 октября 2018
"Офис, 90 м²",135000,"пр-т Альберта Камалеева, 28/9Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_90_m_981920191?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,9 августа 2018
"Офис, 73 м² собственник",105000,"ул. Сибгата Хакима, 60Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_73_m_sobstvennik_1365325133?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,5 августа 2018
Офис с юридическим адресом,5200,"ул. Восстания, 18БКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_s_yuridicheskim_adresom_1628679840?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,21 июня 2018
"Свободного назначения, 126 м²",600,"ул. Королёва, 6Зеленодольск",https://www.avito.ru/zelenodolsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_126_m_1370995467?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,20 июня 2018
"Торговая площадь, 35 м²",3500,"Чистопольская ул., 11Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_35_m_1417631832?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,22 марта 2018
Офис (юридический адрес),5200,"ул. Габдуллы Тукая, 91Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_yuridicheskiy_adres_1382582016?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,20 марта 2018
"Торговая площадь, цена за 1 кв.м",890,"ул. Татарстан, 1АЗеленодольск",https://www.avito.ru/zelenodolsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_tsena_za_1_kv.m_1697078824?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,18 марта 2018
"Торговая площадь, 10.2 м²",2000,"пр-т Победы, 90АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_10.2_m_1495114658?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,8 февраля 2018
"Свободного назначения, 74 м²",400,"ул. Максима Горького, 2Арск",https://www.avito.ru/arsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_74_m_1031647036?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,7 февраля 2018
"Мясо, кондитерка, колбасы, склад, хозтовар",15000,"ул. Столярова, 3Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/myaso_konditerka_kolbasy_sklad_hoztovar_1175327887?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,19 января 2018
"Свободного назначения, 25 м²",16640,"пр-т Нефтяников, 21Заинск",https://www.avito.ru/zainsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_25_m_1022499358?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,17 июля 2017
Сдаются помещения в Торговом Центре в центре город,15000,пр-т СююмбикеНабережные Челны,https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/sdayutsya_pomescheniya_v_torgovom_tsentre_v_tsentre_gorod_863560983?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,31 октября 2016
"Свободного назначения, 55 м²",48000,"ул. Якупова, 40Бугульма",https://www.avito.ru/bugulma/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_55_m_851309458?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,10 октября 2016
"Торговая площадь, 66 м²",790,"1-й комплекс, 9АНабережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/torgovaya_ploschad_66_m_848909230?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,6 октября 2016
"Офис, 22 м²",15000,"пр-т Мира, 42Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/ofis_22_m_817142445?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,3 августа 2016
"Торговая площадь, 12 м²",13200,"пр-т Ямашева, 19БКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_12_m_779013447?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,11 мая 2016
"Торговая площадь, 12.2 м²",740,"пр-т Мира, 63БНижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_12.2_m_741497986?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,8 марта 2016
"Офис, 37.73 м²",792,"ул. Абдуллы Алиша, 9Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/ofis_37.73_m_643489082?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,17 сентября 2015
"Торговая площадь, 20 м²",15000,Молодёжная ул.Зеленодольск,https://www.avito.ru/zelenodolsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_20_m_609360152?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,19 июля 2015
"Свободного назначения, 131 м²",400,"Советская ул., 125ААльметьевск",https://www.avito.ru/almetevsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_131_m_579193094?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,28 мая 2015
"Свободного назначения, 22.5 м²",15142,"ул. Шевченко, 25Альметьевск",https://www.avito.ru/almetevsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_22.5_m_579169900?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,28 мая 2015
"Торговое помещение, 9 м²",11700,"ул. Пушкина, 4АНабережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/torgovoe_pomeschenie_9_m_565312608?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,6 мая 2015
"Склад холодный, 50 м² на 2 этаже",19000,"Приволжский район, Магистральная ул., 77ВКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sklad_holodnyy_50_m_na_2_etazhe_546044798?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,7 апреля 2015
"Свободного назначения, 113 м²",1900,"пр-т Ямашева, 103АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_113_m_532361296?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,19 марта 2015
"Павильон, от 15 м² (30 м², 45 м², 60м²)",16500,"Приволжский район, Магистральная ул., 77Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pavilon_ot_15_m_30_m_45_m_60m_525949117?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,10 марта 2015
"Свободного назначения, 57.5 м²",1900,"ул. Юлиуса Фучика, 133Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_57.5_m_446053065?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,26 октября 2014
"Торговая площадь, 48 м²",700,"ул. Татарстан, 9Зеленодольск",https://www.avito.ru/zelenodolsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_48_m_269662196?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,24 января 2014
"Офис, 18 м²",10000,"Магистральная ул., 1АНабережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/ofis_18_m_218081764?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2RDV6bWh4eFVRMDBnMGxwIjt9wskJ4D8AAAA,30 сентября 2013
